,1,2,3,4,5,6,7,8,9,10,15,20,25,30
1,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
2,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
3,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,1 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
4,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,1 ,1 ,1 ,1 ,0.0000000 ,0.0000000 
5,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,1 ,1 ,1 ,1 ,1 ,1 ,0.0000000 ,0.0000000 ,0.0000000 
7,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,1 ,1 ,1 ,1,1 ,1 ,1 ,0.0000000 ,0.0000000 ,0.0000000 
10,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0.0000000 ,0.0000000 ,0.0000000 
15,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
20,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
25,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
30,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 ,0.0000000 
